kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
MB66VT,2004-01-13,HONDA,Motorfiets,N.v.t.,Benzine
47JGRS,2004-01-22,CITROEN,Personenauto,BLAUW,Benzine
46GRPX,2004-01-19,PEUGEOT,Personenauto,GRIJS,Benzine
96JRSJ,2004-01-09,RENAULT,Personenauto,GRIJS,Benzine
26NSFS,2004-01-28,PEUGEOT,Personenauto,GRIJS,Benzine
66FSDS,2004-02-04,TOYOTA,Personenauto,GRIJS,Benzine
ZHBN97,2004-01-08,NISSAN,Personenauto,GRIJS,Benzine
37NRVN,2004-01-23,TOYOTA,Personenauto,GRIJS,Benzine
MX41FR,2004-01-24,HONDA,Motorfiets,N.v.t.,Benzine
43SZ74,2004-01-05,FIAT,Personenauto,ORANJE,Benzine
86NSDL,2004-01-30,PEUGEOT,Personenauto,GRIJS,Benzine
89NSRN,2004-02-06,TOYOTA,Personenauto,BLAUW,Benzine
DH8259,2004-02-12,PONTIAC,Personenauto,GROEN,Benzine
VP07XR,2004-01-30,RENAULT,Bedrijfsauto,N.v.t.,Benzine
MDZF32,2004-01-30,YAMAHA,Motorfiets,N.v.t.,Benzine
79HGNL,2004-02-02,OPEL,Personenauto,GROEN,Benzine
16NSGK,2004-01-28,TOYOTA,Personenauto,GRIJS,Diesel
64NRHD,2004-01-14,SUZUKI,Personenauto,BEIGE,Benzine
50NSLK,2004-02-02,VOLVO,Personenauto,BLAUW,Benzine
83YA63,2004-01-24,PEUGEOT,Personenauto,GRIJS,Benzine
53RS54,2004-02-04,OPEL,Personenauto,BLAUW,Benzine
PFHG22,2004-02-06,BMW,Personenauto,ROOD,Benzine
MJVL93,2004-02-02,YAMAHA,Motorfiets,N.v.t.,Benzine
82HRNZ,2004-01-16,OPEL,Personenauto,GRIJS,Benzine
DHVV56,2004-01-07,VOLKSWAGEN,Personenauto,ZWART,Benzine
41ES63,2004-02-05,BMW,Personenauto,CREME,Benzine
96NTLX,2004-02-12,BMW,Personenauto,ZWART,Diesel
18FVVS,2004-02-06,PEUGEOT,Personenauto,ZWART,Benzine
62BLLN,2004-01-30,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
25DDLX,2004-01-02,FORD,Personenauto,ZWART,Benzine
48NSDR,2004-02-06,RENAULT,Personenauto,BLAUW,Benzine
MH45XN,2004-02-14,HONDA,Motorfiets,N.v.t.,Benzine
79BGJJ,2004-01-05,G.M.C.,Bedrijfsauto,N.v.t.,Benzine/LPG
21NRZB,2004-01-29,PEUGEOT,Personenauto,BLAUW,Benzine
MFPP19,2004-02-07,HONDA,Motorfiets,N.v.t.,Benzine
MDTP75,2004-01-15,DUCATI,Motorfiets,N.v.t.,Benzine
12HK30,2004-01-19,VOLKSWAGEN,Personenauto,ORANJE,Benzine
06NPNK,2004-01-02,PEUGEOT,Personenauto,GRIJS,Benzine
ML52HL,2004-01-31,YAMAHA,Motorfiets,N.v.t.,Benzine
17DDPL,2004-01-06,PEUGEOT,Personenauto,GRIJS,Benzine
2353JD,2004-02-09,N.S.U.,Personenauto,WIT,Benzine
60DPSZ,2004-01-12,AUDI,Personenauto,GRIJS,Benzine
MJRP76,2004-01-31,SUZUKI,Motorfiets,N.v.t.,Benzine
08BLGJ,2004-01-27,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
61NTFN,2004-02-13,RENAULT,Personenauto,ZWART,Benzine
MD68GY,2004-01-28,LAVERDA,Motorfiets,N.v.t.,Benzine
32NRPX,2004-01-16,OPEL,Personenauto,GRIJS,Benzine
PD97JP,2004-01-22,BMW,Personenauto,BRUIN,Benzine
28ZB82,2004-01-08,LAND ROVER,Bedrijfsauto,N.v.t.,Benzine
MJDX90,2004-01-08,ZELFBOUW,Motorfiets,N.v.t.,Benzine
91JNZD,2004-02-09,OPEL,Personenauto,BLAUW,Benzine
15NRHH,2004-01-16,PEUGEOT,Personenauto,GRIJS,Diesel
MV09GH,2004-02-03,HONDA,Motorfiets,N.v.t.,Benzine
74NSKP,2004-01-30,OPEL,Personenauto,ROOD,Benzine
VPPH29,2004-02-04,FORD,Bedrijfsauto,N.v.t.,Benzine/LPG
