kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
H228DP,2020-01-03,TOYOTA,Personenauto,WIT,Benzine
20XSNF,2020-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
74BPD3,2020-01-02,MAN,Bedrijfsauto,N.v.t.,Diesel
24GRNN,2020-01-03,PEUGEOT,Personenauto,ZWART,Benzine
SG874J,2020-01-03,DACIA,Personenauto,GRIJS,Benzine
H599DF,2020-01-03,VOLVO,Personenauto,GRIJS,Benzine
5ZPT32,2020-01-02,VOLVO,Personenauto,ZWART,Diesel
NJ878R,2020-01-02,VOLVO,Personenauto,GRIJS,Diesel
TT323R,2020-01-03,PORSCHE,Personenauto,WIT,Benzine
H395BH,2020-01-03,MAZDA,Personenauto,ROOD,Benzine/Elektriciteit
VDH67S,2020-01-03,FORD,Bedrijfsauto,N.v.t.,Diesel
17PNGF,2020-01-02,SUBARU,Personenauto,GRIJS,Benzine
NB979D,2020-01-03,RENAULT,Personenauto,WIT,Benzine
G995XV,2020-01-03,MINI,Personenauto,BLAUW,Benzine
SF708J,2020-01-02,TOYOTA,Personenauto,GRIJS,Benzine
MHRV22,2020-01-02,BMW,Motorfiets,N.v.t.,Benzine
VDV71F,2020-01-02,FORD,Bedrijfsauto,N.v.t.,Diesel
DM3030,2020-01-02,VOLVO,Personenauto,ROOD,Benzine/LPG
H394BS,2020-01-02,TOYOTA,Personenauto,ZWART,Benzine/Elektriciteit
G216XB,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
2ZGH63,2020-01-03,CITROEN,Personenauto,GRIJS,Benzine
9SRG08,2020-01-02,FIAT,Personenauto,GRIJS,Benzine
GK739S,2020-01-01,PEUGEOT,Personenauto,GRIJS,Diesel/Elektriciteit
RZ146K,2020-01-03,BMW,Personenauto,GEEL,Benzine
VDT65K,2020-01-03,FORD,Bedrijfsauto,N.v.t.,Diesel
H402BV,2020-01-02,OPEL,Personenauto,GRIJS,Benzine
73XDJS,2020-01-02,CITROEN,Personenauto,GRIJS,Benzine
5SZR08,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Diesel
65JHGR,2020-01-03,TOYOTA,Personenauto,ZWART,Benzine
H519BB,2020-01-03,SEAT,Personenauto,WIT,Benzine
VDT38D,2020-01-03,VAN BLITTERSWIJK,Bedrijfsauto,N.v.t.,Elektriciteit
V008KD,2020-01-02,IVECO,Bedrijfsauto,N.v.t.,Diesel
80BPD4,2020-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
V667ZK,2020-01-03,OPEL,Bedrijfsauto,N.v.t.,Diesel
H717DD,2020-01-03,SKODA,Personenauto,GRIJS,Benzine
4XFR79,2020-01-03,NISSAN,Personenauto,ZWART,Benzine
DXJ26N,2020-01-02,GAZELLE,Bromfiets,N.v.t.,Elektriciteit
69ZBRX,2020-01-03,FORD,Personenauto,BLAUW,Benzine
SN686S,2020-01-03,TOYOTA,Personenauto,GRIJS,Benzine/Elektriciteit
69BNZ6,2020-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
G106ZR,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
MR96TN,2020-01-03,HONDA,Motorfiets,N.v.t.,Benzine
29NKN2,2020-01-03,VOLKSWAGEN,Personenauto,GRIJS,Diesel
ZJ275D,2020-01-02,MERCEDES-BENZ,Personenauto,ZWART,Benzine/Elektriciteit
6ZGL00,2020-01-02,SUZUKI,Personenauto,WIT,Benzine
ZN611S,2020-01-03,PEUGEOT,Personenauto,ZWART,Benzine
H124FG,2020-01-02,FIAT,Personenauto,ZWART,Diesel
G532VB,2020-01-02,FIAT,Personenauto,ZWART,Benzine
16BPD7,2020-01-03,DAF,Bedrijfsauto,N.v.t.,Diesel
G689XS,2020-01-02,TOYOTA,Personenauto,ZWART,Benzine/Elektriciteit
H262BZ,2020-01-03,SKODA,Personenauto,ZWART,Benzine
JL063S,2020-01-02,CITROEN,Personenauto,GRIJS,Benzine
86TGB6,2020-01-02,FIAT,Personenauto,WIT,Benzine
11GXJR,2020-01-03,RENAULT,Personenauto,GRIJS,Benzine
HZ829N,2020-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Diesel
11PNN3,2020-01-02,SUZUKI,Personenauto,WIT,Benzine
G826HS,2020-01-02,PEUGEOT,Personenauto,WIT,Benzine
G520XZ,2020-01-02,AUDI,Personenauto,GRIJS,Benzine/Elektriciteit
70XZX3,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
KL318H,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
H743BF,2020-01-02,RENAULT,Personenauto,ZWART,Benzine
H402DB,2020-01-02,MITSUBISHI,Personenauto,ROOD,Benzine
4ZHR63,2020-01-01,VOLKSWAGEN,Personenauto,BLAUW,Diesel
H806FF,2020-01-02,BMW,Personenauto,GRIJS,Benzine
RF982Z,2020-01-03,CITROEN,Personenauto,WIT,Benzine
MLZB06,2020-01-02,SUZUKI,Motorfiets,N.v.t.,Benzine
TV789X,2020-01-02,RENAULT,Personenauto,GRIJS,Benzine
ZF4529,2020-01-03,ROYAL ENFIELD,Motorfiets,N.v.t.,Benzine
54SND4,2020-01-03,RENAULT,Personenauto,ROOD,Benzine
G423TV,2020-01-02,ASTON MARTIN,Personenauto,GRIJS,Benzine
H808FF,2020-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
3XKX92,2020-01-03,MERCEDES-BENZ,Personenauto,ZWART,Benzine
4TFD38,2020-01-03,PEUGEOT,Personenauto,GRIJS,Diesel
87MGGL,2020-01-03,APRILIA,Motorfiets,N.v.t.,Benzine
H561BT,2020-01-02,SUZUKI,Personenauto,BLAUW,Benzine
H315FH,2020-01-03,MERCEDES-BENZ,Personenauto,ZWART,Diesel
05NNX3,2020-01-03,CITROEN,Personenauto,GRIJS,Benzine
G789ZT,2020-01-02,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
2ZGZ38,2020-01-03,NISSAN,Personenauto,ZWART,Benzine
33GTZ1,2020-01-03,FORD,Personenauto,ZWART,Benzine
KP098H,2020-01-03,SMART,Personenauto,GRIJS,Benzine
91GZLH,2020-01-02,BMW,Personenauto,ROOD,Benzine
PN567V,2020-01-01,AUDI,Personenauto,ZWART,Diesel
VDR47J,2020-01-02,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
DNT52B,2020-01-02,PEUGEOT,Bromfiets,N.v.t.,Benzine
VDS92R,2020-01-02,FORD,Bedrijfsauto,N.v.t.,Diesel
NF512S,2020-01-02,KIA,Personenauto,GRIJS,Diesel
1ZNL58,2020-01-02,NISSAN,Personenauto,WIT,Benzine
MJ57RX,2020-01-02,YAMAHA,Motorfiets,N.v.t.,Benzine
PN095J,2020-01-03,OPEL,Personenauto,WIT,Benzine
13XPGF,2020-01-01,VOLKSWAGEN,Personenauto,BLAUW,Benzine
00KHP6,2020-01-03,OPEL,Personenauto,GRIJS,Benzine
VDH33V,2020-01-03,LAND ROVER,Bedrijfsauto,N.v.t.,Diesel
2XVG52,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
H285FH,2020-01-03,NISSAN,Personenauto,WIT,Benzine
G900ZS,2020-01-02,RENAULT,Personenauto,ZWART,Benzine
49KGF2,2020-01-02,MINI,Personenauto,ZWART,Benzine
G256FV,2020-01-02,MAZDA,Personenauto,WIT,Benzine
H533BL,2020-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
PK737N,2020-01-03,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
KF479P,2020-01-02,RENAULT,Personenauto,BLAUW,Benzine
V264SB,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
H130BF,2020-01-03,TOYOTA,Personenauto,BLAUW,Benzine
41YD17,2020-01-02,LAND ROVER,Bedrijfsauto,N.v.t.,LPG
JV240J,2020-01-02,KIA,Personenauto,ROOD,Benzine
H447DJ,2020-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
H296BJ,2020-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
PD296S,2020-01-02,VOLVO,Personenauto,BLAUW,Benzine
35TPZS,2020-01-02,TOYOTA,Personenauto,GRIJS,Benzine
G278JB,2020-01-02,HYUNDAI,Personenauto,ZWART,Benzine
86JHH6,2020-01-02,BMW,Personenauto,BRUIN,Benzine
GZ887T,2020-01-03,SUBARU,Personenauto,ZWART,Benzine
H738FF,2020-01-02,BMW,Personenauto,ZWART,Benzine
63RXH5,2020-01-01,TOYOTA,Personenauto,GRIJS,Benzine
96HBN9,2020-01-02,FORD,Personenauto,WIT,Benzine
G680BN,2020-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
HS377P,2020-01-03,SEAT,Personenauto,WIT,Benzine
G520GZ,2020-01-02,MERCEDES-BENZ,Personenauto,ZWART,Benzine
52XJX2,2020-01-02,NISSAN,Personenauto,BLAUW,Benzine
SL606G,2020-01-03,OPEL,Personenauto,GRIJS,Benzine
2SRB89,2020-01-03,TOYOTA,Personenauto,GRIJS,Benzine/Elektriciteit
KS316Z,2020-01-02,FORD,Personenauto,ZWART,Benzine
VDX66F,2020-01-03,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
HP033J,2020-01-03,AUDI,Personenauto,ZWART,Benzine
VDS33K,2020-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
JD929D,2020-01-02,ADRIA MOBIL,Personenauto,GRIJS,Diesel
DZ961Z,2020-01-03,APRILIA,Bromfiets,N.v.t.,Benzine
52ZTG8,2020-01-03,FIAT,Personenauto,ZWART,Benzine
DXJ24D,2020-01-02,GAZELLE,Bromfiets,N.v.t.,Elektriciteit
68NBDZ,2020-01-02,FORD,Personenauto,GRIJS,Benzine
2XNT65,2020-01-02,AUDI,Personenauto,BLAUW,Benzine
H347FG,2020-01-03,MERCEDES-BENZ,Personenauto,ZWART,Benzine
VDL53N,2020-01-02,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
7ZLZ73,2020-01-02,MITSUBISHI,Personenauto,GRIJS,Benzine/Elektriciteit
RK934P,2020-01-03,BMW,Personenauto,ZWART,Diesel
H527DS,2020-01-03,KIA,Personenauto,GRIJS,Benzine/Elektriciteit
37VFGS,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
44TNKF,2020-01-02,RENAULT,Personenauto,GRIJS,Benzine
H077DR,2020-01-03,KIA,Personenauto,WIT,Benzine
DSN88Z,2020-01-02,ACCELL-NEDERLAND,Bromfiets,N.v.t.,Elektriciteit
DLZ06N,2020-01-03,PEUGEOT,Bromfiets,N.v.t.,Benzine
33JDHL,2020-01-03,FORD,Personenauto,GROEN,Benzine
V103VV,2020-01-03,RENAULT,Bedrijfsauto,N.v.t.,Diesel
61FSX9,2020-01-03,BATAVUS,Bromfiets,N.v.t.,Benzine
VDX31R,2020-01-02,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
JG339H,2020-01-02,FORD,Personenauto,BRUIN,Benzine
HJ615F,2020-01-02,OPEL,Personenauto,ZWART,Benzine
53NBL3,2020-01-02,DACIA,Personenauto,ZWART,Benzine
HP038S,2020-01-02,CHEVROLET,Personenauto,WIT,Benzine
ZV851V,2020-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
03XTP5,2020-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Diesel
RP872T,2020-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
VDX31R,2020-01-02,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
42ZXF6,2020-01-03,VOLKSWAGEN,Personenauto,BRUIN,Diesel
H524DJ,2020-01-02,FIAT,Personenauto,ZWART,Benzine
G153VZ,2020-01-02,RENAULT,Personenauto,GRIJS,Benzine
08BNT5,2020-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
85MLJR,2020-01-03,YAMAHA,Motorfiets,N.v.t.,Benzine
RG688K,2020-01-03,NISSAN,Personenauto,ROOD,Benzine
6TPK18,2020-01-03,VOLVO,Personenauto,GRIJS,Benzine
DVK41H,2020-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
XLRL72,2020-01-03,TOYOTA,Personenauto,GROEN,Benzine
SB603D,2020-01-02,CITROEN,Personenauto,ZWART,Benzine
VT886T,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
D252XB,2020-01-03,KYMCO,Bromfiets,N.v.t.,Benzine
5TRJ95,2020-01-02,DACIA,Personenauto,BLAUW,Benzine
H731DG,2020-01-03,PEUGEOT,Personenauto,ZWART,Benzine
NT512D,2020-01-03,FORD,Personenauto,GRIJS,Diesel
G090RV,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
DXL11F,2020-01-02,GAZELLE,Bromfiets,N.v.t.,Elektriciteit
MN48SF,2020-01-03,HONDA,Motorfiets,N.v.t.,Benzine
16PZXK,2020-01-02,SEAT,Personenauto,BLAUW,Benzine
5SVH51,2020-01-02,MITSUBISHI,Personenauto,BLAUW,Benzine/Elektriciteit
DB343V,2020-01-02,PUCH,Bromfiets,N.v.t.,Benzine
34XSNL,2020-01-02,DAIHATSU,Personenauto,GRIJS,Benzine
5ZNK11,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
VDS81Z,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
TK518F,2020-01-03,NISSAN,Personenauto,GRIJS,Benzine
ZH460D,2020-01-02,CITROEN,Personenauto,WIT,Benzine
G983DP,2020-01-02,AUDI,Personenauto,GRIJS,Diesel
TK092T,2020-01-02,SEAT,Personenauto,WIT,Benzine
VDT98F,2020-01-02,OPEL,Bedrijfsauto,N.v.t.,Diesel
87BNZ8,2020-01-02,SCANIA,Bedrijfsauto,N.v.t.,LNG
37ZPD5,2020-01-02,CITROEN,Personenauto,WIT,Benzine
VR741K,2020-01-02,OPEL,Bedrijfsauto,N.v.t.,Diesel
30TDJG,2020-01-03,BMW,Personenauto,ZWART,Benzine
29HDDK,2020-01-02,TOYOTA,Personenauto,GRIJS,Benzine
HJ655Z,2020-01-02,AUDI,Personenauto,GRIJS,Benzine/Elektriciteit
56RRGS,2020-01-01,BMW,Personenauto,ZWART,Benzine
VN438N,2020-01-02,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
RL808T,2020-01-02,MERCEDES-BENZ,Personenauto,ZWART,Benzine
42JSZ4,2020-01-03,HONDA,Personenauto,ZWART,Benzine
G903PS,2020-01-02,VOLVO,Personenauto,ROOD,Benzine
G101ZN,2020-01-02,KIA,Personenauto,BLAUW,Benzine
G081ZB,2020-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
H232DF,2020-01-03,MAZDA,Personenauto,ZWART,Benzine/Elektriciteit
NX844B,2020-01-03,DACIA,Personenauto,ZWART,Benzine
G335XZ,2020-01-02,AUDI,Personenauto,ZWART,Diesel/Elektriciteit
4KRF43,2020-01-02,CITROEN,Personenauto,GRIJS,Benzine
11PZRB,2020-01-01,VOLKSWAGEN,Personenauto,GRIJS,Benzine
PN574L,2020-01-03,HYUNDAI,Personenauto,GRIJS,Benzine
97KST4,2020-01-03,NISSAN,Personenauto,WIT,Benzine
G626DN,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
RR365V,2020-01-03,SEAT,Personenauto,WIT,Diesel
DL927T,2020-01-02,D.K.W.,Bromfiets,N.v.t.,Benzine
DSX42Z,2020-01-02,GTS,Bromfiets,N.v.t.,Benzine
79KGX6,2020-01-03,OPEL,Personenauto,BLAUW,Benzine
TV409S,2020-01-03,FORD,Personenauto,GRIJS,Benzine
76GDG5,2020-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
VDT81V,2020-01-03,OPEL,Bedrijfsauto,N.v.t.,Diesel
10BJBN,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
2XTN25,2020-01-02,KIA,Personenauto,WIT,Benzine
DXJ17N,2020-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
G297XT,2020-01-02,RENAULT,Personenauto,GRIJS,Benzine
67FBD1,2020-01-02,APRILIA,Bromfiets,N.v.t.,Benzine
G209NS,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
4TFH90,2020-01-03,KIA,Personenauto,GRIJS,Benzine
RGNN09,2020-01-02,BMW,Personenauto,GROEN,Benzine
JB639V,2020-01-03,TOYOTA,Personenauto,GRIJS,Benzine/Elektriciteit
G930ZP,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
G086FT,2020-01-03,VOLKSWAGEN,Personenauto,GRIJS,Benzine
DXK64D,2020-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
41SJN8,2020-01-03,PEUGEOT,Personenauto,ZWART,Benzine
MK45VX,2020-01-03,SUZUKI,Motorfiets,N.v.t.,Benzine
G414HT,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
H436BT,2020-01-03,AUDI,Personenauto,ZWART,Diesel
H851FG,2020-01-03,AUDI,Personenauto,GRIJS,Benzine
H779BH,2020-01-02,AUDI,Personenauto,GRIJS,Diesel/Elektriciteit
4XVL71,2020-01-03,PEUGEOT,Personenauto,WIT,Diesel
V313JD,2020-01-02,IVECO,Bedrijfsauto,N.v.t.,Diesel
KG796G,2020-01-03,OPEL,Personenauto,GRIJS,Benzine
VDT84V,2020-01-02,MAN,Bedrijfsauto,N.v.t.,Diesel
8SFP70,2020-01-02,DACIA,Personenauto,BLAUW,Benzine
VDS49L,2020-01-03,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
93DNG2,2020-01-02,GILERA,Bromfiets,N.v.t.,Benzine
G863SG,2020-01-02,NISSAN,Personenauto,ROOD,Benzine
H880DP,2020-01-03,KIA,Personenauto,ZWART,Benzine
VR878P,2020-01-03,DODGE,Bedrijfsauto,N.v.t.,Benzine/LPG
2KFL05,2020-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
41TRN5,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
58STSH,2020-01-03,DAIHATSU,Personenauto,ROOD,Benzine
H933DN,2020-01-03,POESSL,Personenauto,GRIJS,Diesel
SL467X,2020-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
PP361S,2020-01-03,TOYOTA,Personenauto,BLAUW,Benzine
H264DF,2020-01-03,MAZDA,Personenauto,WIT,Benzine/Elektriciteit
11JBKP,2020-01-02,OPEL,Personenauto,GRIJS,Benzine
9TXF98,2020-01-01,RENAULT,Personenauto,WIT,Benzine
G720ZH,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
H225DH,2020-01-03,MITSUBISHI,Personenauto,BLAUW,Benzine
84ZPK7,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
29KKN5,2020-01-02,DACIA,Personenauto,BLAUW,Benzine
72MGXX,2020-01-02,MOTO GUZZI,Motorfiets,N.v.t.,Benzine
G874XH,2020-01-02,VOLKSWAGEN,Personenauto,ROOD,Benzine
71RRV4,2020-01-02,FORD,Personenauto,BLAUW,Benzine
DDL12D,2020-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
VF033D,2020-01-03,OPEL,Bedrijfsauto,N.v.t.,Diesel
7XFN37,2020-01-03,SKODA,Personenauto,BEIGE,Benzine
H491BJ,2020-01-03,SUZUKI,Personenauto,GRIJS,Benzine/Elektriciteit
NP845X,2020-01-02,OPEL,Personenauto,BLAUW,Diesel
DXL81J,2020-01-03,SYM,Bromfiets,N.v.t.,Benzine
77NLVD,2020-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
DXL35T,2020-01-03,EBRETTI,Bromfiets,N.v.t.,Elektriciteit
G237PT,2020-01-03,CITROEN,Personenauto,GRIJS,Benzine
35JZF3,2020-01-03,OPEL,Personenauto,BLAUW,Benzine
DXH10G,2020-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
6ZNJ46,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
H629BN,2020-01-02,FORD,Personenauto,WIT,Benzine
VDN39X,2020-01-02,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
AL5128,2020-01-03,VOLVO,Personenauto,BLAUW,Benzine
80NKL8,2020-01-02,SUZUKI,Personenauto,GRIJS,Benzine
KZ700D,2020-01-03,FORD,Personenauto,BLAUW,Benzine
33TTJK,2020-01-03,TOYOTA,Personenauto,BEIGE,Benzine
3ZLX07,2020-01-02,SKODA,Personenauto,WIT,Benzine
JJ459K,2020-01-02,DACIA,Personenauto,BLAUW,Benzine/LPG
VL673K,2020-01-02,FORD,Bedrijfsauto,N.v.t.,Diesel
56TPR1,2020-01-01,RENAULT,Personenauto,ZWART,Benzine
SK244R,2020-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
56XJVF,2020-01-03,OPEL,Personenauto,GRIJS,Benzine
4XHZ92,2020-01-03,VOLKSWAGEN,Personenauto,ROOD,Benzine
PJ217K,2020-01-03,VOLVO,Personenauto,BLAUW,Benzine
6XSH61,2020-01-02,SKODA,Personenauto,GRIJS,Diesel
F576TJ,2020-01-03,YAMAHA,Bromfiets,N.v.t.,Benzine
H173DS,2020-01-03,KIA,Personenauto,WIT,Benzine
JS503Z,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
KV047T,2020-01-03,ALFA ROMEO,Personenauto,WIT,Benzine
23BPD9,2020-01-02,LIEBHERR,Bedrijfsauto,N.v.t.,Diesel
75ZPT8,2020-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
92MLJX,2020-01-02,SUZUKI,Motorfiets,N.v.t.,Benzine
H507FF,2020-01-03,FORD,Personenauto,GRIJS,Benzine
H646BR,2020-01-03,FORD,Personenauto,ZWART,Benzine
6SFJ98,2020-01-02,OPEL,Personenauto,GRIJS,Benzine
KD990R,2020-01-02,CAPRON,Personenauto,WIT,Diesel
62TTJJ,2020-01-02,KIA,Personenauto,ROOD,Benzine
61HRX9,2020-01-03,AUTO UNION,Personenauto,GRIJS,Benzine
G937XV,2020-01-02,MINI,Personenauto,GROEN,Benzine
48JLXL,2020-01-03,DAIHATSU,Personenauto,BLAUW,Benzine
68XFHT,2020-01-02,TOYOTA,Personenauto,GRIJS,Benzine
SL401G,2020-01-02,OPEL,Personenauto,BLAUW,Benzine
KD434H,2020-01-02,SKODA,Personenauto,GRIJS,Benzine
PD133N,2020-01-03,TOYOTA,Personenauto,BLAUW,Benzine
53ZSX6,2020-01-01,AUDI,Personenauto,WIT,Benzine
92JNPK,2020-01-03,SUZUKI,Personenauto,BEIGE,Benzine
G460HX,2020-01-02,CITROEN,Personenauto,GRIJS,Benzine
NZ449Z,2020-01-02,CITROEN,Personenauto,BLAUW,Benzine
VDL51S,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
70NJH3,2020-01-03,TOYOTA,Personenauto,GRIJS,Benzine/Elektriciteit
G087KZ,2020-01-02,PEUGEOT,Personenauto,GRIJS,Diesel
DFT08X,2020-01-02,KYMCO,Bromfiets,N.v.t.,Benzine
G773NS,2020-01-02,FIAT,Personenauto,ROOD,Benzine
2XNT65,2020-01-02,AUDI,Personenauto,BLAUW,Benzine
H567FD,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
3ZJJ19,2020-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
90HPXG,2020-01-02,ROLLS ROYCE,Personenauto,BLAUW,Benzine
DXSH97,2020-01-02,FIAT,Personenauto,GRIJS,Benzine
G870ZL,2020-01-02,VOLVO,Personenauto,BLAUW,Benzine
8SFF12,2020-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
MV05JJ,2020-01-03,MOTO-GUZZI,Motorfiets,N.v.t.,Benzine
DFS92F,2020-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
H285DF,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
94STDG,2020-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
G021XG,2020-01-02,AUDI,Personenauto,GRIJS,Benzine
HR418G,2020-01-03,TOYOTA,Personenauto,ZWART,Benzine/Elektriciteit
30ZKDX,2020-01-03,CITROEN,Personenauto,GRIJS,Benzine
15VPLG,2020-01-02,SSANGYONG,Bedrijfsauto,N.v.t.,Diesel
28SZN4,2020-01-03,SEAT,Personenauto,WIT,Benzine
H660FB,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
D829SX,2020-01-03,PEUGEOT,Bromfiets,N.v.t.,Benzine
90NLR5,2020-01-02,LEXUS,Personenauto,BLAUW,Benzine
08ET63,2020-01-03,SUNBEAM,Personenauto,BRUIN,Benzine
G584ZP,2020-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
34TBZZ,2020-01-03,TOYOTA,Personenauto,ROOD,Benzine
PT826D,2020-01-02,FIAT,Personenauto,WIT,Benzine
37BSRH,2020-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
90JPZ3,2020-01-03,VOLKSWAGEN,Personenauto,BLAUW,Benzine
15ZPXK,2020-01-02,TOYOTA,Personenauto,BLAUW,Benzine
KH978J,2020-01-03,VOLKSWAGEN,Personenauto,ROOD,Benzine
5ZRJ80,2020-01-03,BMW I,Personenauto,GRIJS,Elektriciteit
4TDV82,2020-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
30XHBV,2020-01-03,TRIGANO,Personenauto,WIT,Diesel
JS902H,2020-01-02,SEAT,Personenauto,GRIJS,Benzine
H365DP,2020-01-03,TOYOTA,Personenauto,GRIJS,Benzine
19ZBR5,2020-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
V933PJ,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
65BNX3,2020-01-01,DAF,Bedrijfsauto,N.v.t.,Diesel
18HFS4,2020-01-02,FORD,Personenauto,GRIJS,Benzine
DXL96B,2020-01-03,PUCH,Bromfiets,N.v.t.,Benzine
48PVTJ,2020-01-03,KIA,Personenauto,GRIJS,Benzine
7982FA,2020-01-03,TRIUMPH,Personenauto,GROEN,Benzine
HV549T,2020-01-02,TOYOTA,Personenauto,WIT,Benzine
62BNZ4,2020-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
G665NR,2020-01-02,CITROEN,Personenauto,WIT,Diesel
GV973D,2020-01-02,AUDI,Personenauto,ZWART,Benzine/Elektriciteit
41TNPG,2020-01-02,OPEL,Personenauto,GRIJS,Benzine
48PXS7,2020-01-03,FIAT,Personenauto,GRIJS,Benzine
5SZR06,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Diesel
79BXHL,2020-01-02,OPEL,Bedrijfsauto,N.v.t.,Diesel
67VZG8,2020-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
FL973N,2020-01-03,TOMOS,Bromfiets,N.v.t.,Benzine
MRBL25,2020-01-02,HONDA,Motorfiets,N.v.t.,Benzine
21TDPX,2020-01-02,PEUGEOT,Personenauto,GRIJS,Benzine
MBGT36,2020-01-03,SUZUKI,Motorfiets,N.v.t.,Benzine
DL087F,2020-01-03,HONDA,Bromfiets,N.v.t.,Benzine
24NGJ3,2020-01-02,FORD,Personenauto,ZWART,Benzine
G426ZD,2020-01-03,FORD,Personenauto,ZWART,Benzine
H886BK,2020-01-02,MITSUBISHI,Personenauto,WIT,Benzine
DXF57N,2020-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
PL858J,2020-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
XK501K,2020-01-03,SEAT,Personenauto,BLAUW,Benzine
H164BT,2020-01-02,AUDI,Personenauto,ZWART,Benzine
HG595X,2020-01-02,PEUGEOT,Personenauto,GRIJS,Benzine
